seatid,price,distance,height,seating_angle,visibility,turns_visible,track_length_visible,range_visible,seat_type,sun_cover,rain_cover,speed_category,overtake_probability,braking_zone,sold_first_hour
26604,2753,33,0,89,48,1,148,141,VIP,0.28,1,Medium,0.52,0,0
26605,2643,24,2,10,60,0,174,237,VIP,0.38,0.87,Slow,0.59,1,0
26606,2090,29,0,29,68,2,234,165,VIP,0.14,0.86,Medium,0.67,0,0
26607,2716,25,4,59,60,2,159,253,VIP,0.21,0.77,Slow,0.9,0,0
26608,214,100,9,29,68,1,267,129,General,0.28,0.21,Fast,0.4,0,1
26609,553,35,4,46,75,3,215,172,General,0.24,0.12,Slow,0.64,1,0
26610,417,103,13,44,70,0,194,299,General,0.43,0.33,Medium,0.55,0,0
26611,390,102,17,64,70,2,233,255,General,0.5,0.55,Slow,0.68,1,1
26612,2850,30,14,81,71,2,181,160,VIP,0.44,0.87,Medium,0.68,0,0
26613,1229,25,0,9,48,1,239,191,Premium,0.13,0.05,Medium,0.64,0,0
26614,2674,12,6,31,68,3,331,129,VIP,0.47,0.77,Fast,0.34,0,0
26615,3067,18,8,28,60,3,193,192,VIP,0.38,0.62,Medium,0.58,0,0
26616,2358,41,10,35,66,2,263,198,VIP,0.46,0.3,Medium,0.31,1,0
26617,179,128,14,71,67,2,267,159,General,0.38,0.22,Slow,0.82,1,1
26618,523,109,3,9,66,3,323,217,General,0.09,0.12,Fast,0.28,0,0
26619,2216,35,1,57,64,0,261,122,VIP,0.26,0.33,Medium,0.55,0,0
26620,2838,13,0,56,51,0,177,145,VIP,0.13,0.77,Slow,0.77,0,0
26621,152,131,1,61,59,1,205,67,General,0.23,0.56,Medium,0.6,1,0
26622,391,104,19,83,76,3,300,212,General,0.54,0.58,Slow,0.69,1,0
26623,175,120,16,33,77,3,210,256,General,0.29,0.62,Medium,0.34,1,1
26624,3079,16,0,54,61,1,167,272,VIP,0.15,0.56,Fast,0.4,0,0
26625,3339,8,4,53,52,2,260,88,VIP,0.29,0.59,Medium,0.34,1,0
26626,278,118,22,37,75,0,290,230,General,0.54,0.92,Fast,0.14,0,1
26627,2293,32,6,72,74,0,247,249,VIP,0.25,0.76,Fast,0.43,0,0
26628,379,125,18,79,79,3,378,145,General,0.3,0.84,Medium,0.52,0,0
26629,2464,32,0,48,54,1,241,104,VIP,0.16,1,Fast,0.14,0,0
26630,442,104,8,9,59,1,281,142,General,0.2,0.76,Fast,0.34,0,0
26631,205,126,15,46,76,3,224,243,General,0.24,0.58,Fast,0.37,0,1
26632,1875,35,3,77,65,3,180,106,VIP,0.22,0.84,Fast,0.18,0,0
26633,170,120,11,52,71,1,183,221,General,0.31,0.22,Slow,0.55,1,1
26634,390,115,12,52,78,3,353,224,General,0.35,0.61,Fast,0.23,0,1
26635,3254,15,0,27,57,1,275,225,VIP,0.18,0.67,Slow,0.6,1,0
26636,3531,39,3,8,55,0,214,188,VIP,0.38,0.52,Fast,0.29,0,0
26637,49,138,18,56,76,3,197,232,General,0.53,0.51,Fast,0.42,0,1
26638,546,42,0,46,51,1,204,137,General,0.16,0.26,Medium,0.64,1,0
26639,2409,32,5,11,63,3,249,224,VIP,0.17,0.93,Fast,0.48,1,0
26640,386,42,1,77,55,2,206,250,General,0.04,0.19,Medium,0.54,0,0
26641,266,118,17,78,76,2,333,165,General,0.46,0.35,Fast,0.23,1,1
26642,292,129,17,70,72,0,201,119,General,0.39,0.69,Slow,0.5,1,0
26643,391,127,14,1,70,2,299,238,General,0.33,0.19,Fast,0.47,0,0
26644,2094,37,14,37,80,3,332,185,VIP,0.24,0.94,Medium,0.38,0,0
26645,3679,15,0,50,53,1,155,181,VIP,0.46,1,Fast,0.16,0,0
26646,329,122,15,82,70,2,181,141,General,0.3,0.15,Fast,0.1,0,0
26647,2718,29,5,63,46,0,138,201,VIP,0.27,0.31,Fast,0.25,1,0
26648,198,137,15,76,78,3,349,207,General,0.37,0.64,Medium,0.31,1,1
26649,318,122,10,32,69,0,218,260,General,0.31,0.6,Slow,0.64,0,0
26650,3252,31,9,56,71,0,303,233,VIP,0.27,1,Slow,0.57,1,0
26651,2765,26,0,81,69,2,201,202,VIP,0.29,0.38,Fast,0.24,0,0
26652,2362,10,2,33,62,0,214,146,VIP,0.35,1,Fast,0.26,0,0
26653,723,86,4,35,62,1,241,137,Premium,0.41,0.93,Medium,0.58,0,1
26654,2772,24,0,65,66,1,298,223,VIP,0.11,0.43,Slow,0.77,1,0
26655,1217,39,0,50,53,2,146,133,Premium,0.11,0.17,Fast,0.27,0,0
26656,2078,38,0,72,67,3,190,281,VIP,0.27,0.38,Medium,0.31,1,0
26657,442,105,9,43,63,3,267,169,General,0.4,0.15,Fast,0.39,0,0
26658,2789,24,6,41,61,2,237,184,VIP,0.4,1,Medium,0.56,1,0
26659,1426,32,0,64,74,1,255,214,Premium,0.31,0.8,Fast,0.31,0,1
26660,385,117,16,35,75,1,331,266,General,0.43,0.19,Slow,0.51,1,0
26661,3357,30,7,16,67,2,276,136,VIP,0.2,0.31,Slow,0.62,1,0
26662,262,106,11,22,64,1,258,198,General,0.19,0.81,Medium,0.58,0,1
26663,2380,25,0,11,57,0,268,132,VIP,0.24,0.56,Fast,0.46,0,0
26664,440,35,1,76,57,1,145,184,General,0.23,0.07,Medium,0.45,0,0
26665,3353,24,0,10,64,3,311,229,VIP,0.24,0.78,Fast,0.19,1,0
26666,509,115,8,85,61,3,238,134,General,0.37,0.04,Slow,0.74,1,0
26667,128,130,11,57,70,1,307,150,General,0.38,0.8,Medium,0.42,0,1
26668,3158,24,0,66,57,2,175,152,VIP,0.26,0.61,Fast,0.34,0,0
26669,340,126,14,83,73,2,234,148,General,0.38,0.3,Medium,0.69,0,0
26670,2438,35,3,50,61,0,185,216,VIP,0.17,0.45,Fast,0.11,0,0
26671,99,109,12,36,69,2,281,186,General,0.43,0.39,Medium,0.4,0,1
26672,1254,43,0,28,67,3,195,164,Premium,0.08,0.21,Medium,0.58,0,0
26673,565,111,11,63,74,1,301,207,General,0.22,0.35,Medium,0.46,0,1
26674,426,110,10,16,67,1,336,212,General,0.41,0.82,Fast,0.34,0,1
26675,285,131,6,39,71,3,183,136,General,0.35,0.03,Fast,0.27,0,1
26676,3341,22,14,40,72,2,334,181,VIP,0.35,1,Medium,0.38,0,0
26677,1334,27,2,37,56,2,174,199,Premium,0.24,0.66,Fast,0.49,0,0
26678,2367,45,1,66,72,2,188,119,VIP,0.16,0.88,Slow,0.81,1,0
26679,179,121,8,55,68,1,337,262,General,0.19,0.73,Fast,0.19,0,1
26680,399,124,15,64,72,3,354,250,General,0.33,0.77,Fast,0.11,0,0
26681,496,126,22,60,84,1,289,300,General,0.43,0.19,Medium,0.62,0,1
26682,3529,25,5,11,63,1,286,191,VIP,0.33,1,Slow,0.8,1,0
26683,3650,16,0,36,59,1,286,231,VIP,0.07,0.6,Medium,0.59,0,0
26684,2512,39,11,54,71,3,270,133,VIP,0.4,0.95,Fast,0.28,0,0
26685,2850,15,0,58,56,0,218,149,VIP,0.23,0.37,Medium,0.6,0,0
26686,588,45,7,72,67,3,170,226,General,0.34,0.68,Fast,0.34,0,0
26687,475,99,4,69,67,2,251,269,General,0.23,0.4,Fast,0.49,0,0
26688,2674,23,0,38,59,2,157,223,VIP,0.17,1,Slow,0.87,1,0
26689,1918,37,0,83,56,1,195,205,VIP,0.07,1,Slow,0.76,1,0
26690,3041,39,0,2,63,2,200,152,VIP,0.21,0.92,Slow,0.85,0,0
26691,335,123,13,1,60,3,240,204,General,0.42,0.78,Medium,0.44,0,0
26692,2586,35,0,1,54,0,202,203,VIP,0.17,1,Slow,0.7,1,0
26693,309,111,14,72,66,1,187,181,General,0.38,0.28,Fast,0.42,0,1
26694,2023,14,2,84,57,0,231,75,VIP,0.25,0.66,Fast,0.23,0,0
26695,746,35,0,31,58,2,205,204,General,0.04,0.92,Medium,0.39,0,0
26696,778,107,10,53,75,0,333,233,Premium,0.33,0.85,Medium,0.52,0,0
26697,300,111,16,2,70,0,225,147,General,0.35,0.04,Fast,0.41,1,0
26698,3335,28,0,75,62,3,176,151,VIP,0,1,Fast,0.22,1,0
26699,3061,20,3,33,64,3,306,143,VIP,0.15,0.65,Medium,0.37,0,0
26700,1611,31,6,6,70,2,246,212,Premium,0.21,0.88,Slow,0.55,1,0
26701,2963,31,3,87,58,0,204,209,VIP,0.11,1,Medium,0.63,0,0
26702,417,107,6,5,69,0,181,204,General,0.25,0.47,Slow,0.57,1,1
26703,445,95,9,36,57,2,208,170,General,0.17,0.42,Fast,0.28,0,0
26704,1166,45,3,78,60,0,160,172,Premium,0.07,0.12,Medium,0.63,0,0
26705,577,81,10,86,71,0,292,233,General,0.23,0.97,Slow,0.51,0,0
26706,2236,32,1,39,64,1,319,139,VIP,0.12,0.38,Fast,0.46,0,0
26707,439,115,9,44,72,2,295,137,General,0.25,0.61,Fast,0.38,1,0
26708,2291,24,0,22,65,2,251,225,VIP,0.14,0.96,Slow,0.83,0,0
26709,953,46,4,48,67,1,192,215,Premium,0.32,0.65,Medium,0.54,0,0
26710,328,125,8,89,64,1,284,263,General,0.32,1,Slow,0.71,1,0
26711,2898,14,1,89,59,1,263,210,VIP,0.14,0.71,Medium,0.43,0,0
26712,3014,13,0,82,54,1,168,157,VIP,0.03,0.85,Medium,0.56,1,0
26713,144,149,13,9,77,1,372,180,General,0.28,0.25,Fast,0.44,0,1
26714,2904,30,11,39,63,1,295,169,VIP,0.43,0.41,Slow,0.83,1,0
26715,3444,28,0,25,60,1,279,267,VIP,0.24,0.69,Fast,0.23,0,0
26716,2936,39,0,30,61,0,305,204,VIP,0.13,0.35,Medium,0.33,0,0
26717,2480,37,6,34,70,2,219,234,VIP,0.29,1,Fast,0.17,0,0
26718,372,106,10,81,78,1,214,259,General,0.26,0.64,Medium,0.4,0,1
26719,365,109,6,81,73,3,220,256,General,0.4,0.53,Medium,0.68,0,0
26720,2228,6,0,69,45,0,208,156,VIP,0.2,1,Slow,0.71,1,0
26721,2562,39,2,0,70,3,333,238,VIP,0.19,1,Fast,0.21,0,0
26722,266,115,2,78,66,1,297,184,General,0.2,0.5,Slow,0.54,1,0
26723,2981,18,0,69,52,2,157,116,VIP,0.18,0.9,Medium,0.42,1,0
26724,148,125,21,10,77,3,312,221,General,0.58,0.16,Slow,0.69,1,1
26725,2657,30,10,58,67,2,255,199,VIP,0.37,0.79,Medium,0.58,0,0
26726,416,116,10,66,67,2,318,224,General,0.36,0.14,Fast,0.32,1,1
26727,2498,40,1,77,60,1,253,241,VIP,0.29,0.95,Fast,0.44,0,0
26728,251,135,15,28,81,1,326,228,General,0.33,0.99,Medium,0.67,1,1
26729,3118,8,0,30,53,0,229,213,VIP,0.14,1,Slow,0.85,1,0
26730,417,104,13,74,73,3,226,357,General,0.11,0.97,Fast,0.17,0,1
26731,223,106,11,18,62,2,227,205,General,0.56,0.6,Fast,0.21,0,1
26732,1278,32,7,16,72,0,311,126,Premium,0.4,0.72,Fast,0.21,0,0
26733,126,129,15,16,71,2,337,240,General,0.18,0.77,Fast,0.44,0,1
26734,358,137,17,33,76,2,203,182,General,0.3,0.4,Fast,0.25,1,1
26735,2794,24,0,69,59,1,282,184,VIP,0.31,0.65,Medium,0.56,0,0
26736,373,116,16,81,80,4,299,285,General,0.44,0.26,Slow,0.7,1,1
26737,788,45,8,80,63,1,217,194,Premium,0.41,0.33,Medium,0.66,0,0
26738,445,113,8,58,64,0,244,229,General,0.23,0.63,Fast,0.4,0,0
26739,3241,19,1,0,63,3,193,208,VIP,0.06,0.82,Fast,0.23,0,0
26740,3354,25,7,34,67,2,218,134,VIP,0.36,0.65,Medium,0.31,0,0
26741,326,102,4,11,59,2,236,124,General,0.38,0.11,Fast,0.46,0,1
26742,223,108,8,56,64,3,185,171,General,0.32,0.39,Slow,0.81,1,1
26743,177,112,10,1,69,0,191,199,General,0.35,0.93,Slow,0.5,1,0
26744,2550,33,0,39,73,2,211,110,VIP,0.17,0.9,Fast,0.22,0,0
26745,198,139,15,86,72,2,272,292,General,0.42,0.9,Fast,0.41,0,0
26746,1266,41,12,78,76,1,384,238,Premium,0.25,0.9,Slow,0.9,1,0
26747,272,138,9,60,64,1,258,173,General,0.24,0.28,Medium,0.38,1,1
26748,345,114,15,87,84,4,408,285,General,0.49,0.08,Fast,0.22,0,1
26749,2942,31,9,48,71,1,332,273,VIP,0.27,0.8,Fast,0.27,0,0
26750,2483,28,3,84,63,1,254,227,VIP,0.37,0.56,Slow,0.57,0,0
26751,3306,8,0,18,66,1,307,170,VIP,0.1,1,Slow,0.72,0,0
26752,277,112,13,68,66,1,197,180,General,0.27,0.23,Slow,0.56,1,1
26753,2519,43,6,39,46,2,219,176,VIP,0.22,0.41,Fast,0.38,0,0
26754,99,134,17,53,77,3,306,178,General,0.46,0.06,Fast,0.15,0,1
26755,510,97,7,49,57,2,174,98,General,0.22,0.12,Medium,0.69,1,1
26756,2190,32,0,69,74,1,369,256,VIP,0.06,0.85,Slow,0.72,1,0
26757,359,88,16,19,71,2,233,265,General,0.28,0.53,Fast,0.37,0,0
26758,3157,24,3,72,57,1,186,125,VIP,0.13,0.44,Medium,0.61,1,0
26759,1109,41,1,30,68,2,270,283,Premium,0.24,0.02,Fast,0.43,0,0
26760,1065,92,10,2,61,1,214,270,Premium,0.16,0.16,Fast,0.48,0,0
26761,2613,29,5,49,74,1,254,189,VIP,0.26,0.32,Fast,0.28,0,0
26762,2139,25,11,44,61,0,201,286,VIP,0.44,0.73,Medium,0.46,1,0
26763,3032,26,8,27,71,1,323,177,VIP,0.3,0.78,Slow,0.7,1,0
26764,2712,37,1,27,62,1,183,132,VIP,0.26,0.79,Medium,0.69,1,0
26765,263,129,5,30,71,2,226,253,General,0.25,0.07,Fast,0.31,0,1
26766,281,120,21,17,78,2,277,190,General,0.57,0.37,Fast,0.29,0,1
26767,485,103,6,14,65,3,188,215,General,0.08,0.89,Medium,0.69,0,0
26768,3078,32,0,51,59,1,244,164,VIP,0.4,0.62,Medium,0.44,0,0
26769,452,32,0,59,49,0,127,86,General,0.27,0.84,Slow,0.62,1,1
26770,258,133,11,41,71,1,286,199,General,0.4,0.93,Fast,0.41,0,1
26771,216,150,5,19,69,2,306,202,General,0.42,0.99,Medium,0.62,0,1
26772,3167,16,0,2,56,0,270,199,VIP,0.3,0.94,Medium,0.33,0,0
26773,177,137,5,75,64,1,270,264,General,0.18,0.12,Slow,0.55,1,1
26774,2577,18,12,13,73,1,298,206,VIP,0.37,0.92,Fast,0.22,0,0
26775,337,128,9,4,74,0,288,204,General,0.12,0.49,Medium,0.53,1,0
26776,251,128,9,6,72,3,299,140,General,0.34,0.61,Medium,0.67,0,1
26777,428,103,7,34,69,2,193,205,General,0.2,0.85,Medium,0.42,0,1
26778,2656,32,7,49,57,1,255,220,VIP,0.14,0.83,Medium,0.66,0,0
26779,3135,20,0,21,64,3,278,179,VIP,0.09,0.55,Slow,0.82,1,0
26780,2884,33,7,63,57,2,259,227,VIP,0.14,1,Slow,0.77,1,0
26781,234,114,10,18,66,3,250,122,General,0.31,0.66,Medium,0.66,0,1
26782,3794,26,6,10,67,1,200,197,VIP,0.28,0.78,Fast,0.34,0,0
26783,342,116,21,27,66,1,228,142,General,0.46,0.36,Fast,0.23,0,0
26784,124,142,4,1,62,1,157,102,General,0.2,0.98,Fast,0.23,1,1
26785,1465,35,6,27,57,1,157,184,Premium,0.32,0.92,Fast,0.14,0,0
26786,2700,27,0,25,59,1,221,182,VIP,0.2,0.34,Fast,0.29,0,0
26787,2301,23,7,64,61,0,185,263,VIP,0.39,0.45,Medium,0.41,1,0
26788,2970,27,2,88,59,2,207,189,VIP,0.33,1,Medium,0.4,1,0
26789,304,106,8,52,71,2,205,261,General,0.39,0.38,Fast,0.42,0,0
26790,2734,34,1,52,64,3,218,211,VIP,0.05,0.99,Medium,0.49,1,0
26791,437,105,13,8,74,2,186,173,General,0.31,0.37,Slow,0.81,0,0
26792,396,105,13,0,75,3,275,254,General,0.54,0.96,Slow,0.79,1,1
26793,512,120,13,80,69,3,323,114,General,0.36,0.03,Fast,0.17,0,0
26794,2610,23,0,15,62,1,232,179,VIP,0.31,1,Fast,0.46,0,0
26795,358,112,10,63,60,0,220,178,General,0.33,0.78,Slow,0.79,1,0
26796,122,117,6,24,64,3,265,158,General,0.29,0.49,Fast,0.13,0,1
26797,2728,34,0,22,62,3,187,221,VIP,0.33,1,Fast,0.36,0,0
26798,3000,28,8,88,78,3,362,258,VIP,0.2,0.62,Fast,0.36,1,0
26799,2517,29,6,24,70,1,178,231,VIP,0.07,0.59,Fast,0.23,0,0
26800,368,108,6,82,66,3,231,256,General,0.33,0.94,Fast,0.31,0,1
26801,269,129,18,87,75,3,343,244,General,0.32,0.24,Medium,0.33,1,1
26802,2802,25,2,65,59,1,174,163,VIP,0.28,1,Medium,0.58,1,0
26803,2524,32,0,73,55,2,147,192,VIP,0.16,0.98,Slow,0.82,1,0
26804,3099,39,7,36,65,1,307,130,VIP,0.24,0.64,Fast,0.29,0,0
26805,678,109,6,60,67,2,250,155,Premium,0.23,0.54,Slow,0.79,1,0
26806,3228,39,9,59,63,0,194,158,VIP,0.19,0.77,Medium,0.68,0,0
26807,171,123,10,71,63,1,279,177,General,0.24,0.6,Fast,0.19,1,1
26808,441,121,12,65,69,0,188,251,General,0.15,0.88,Fast,0.32,0,0
26809,2936,8,3,1,62,1,184,200,VIP,0.25,0.52,Fast,0.12,1,0
26810,1153,35,6,80,66,2,300,239,Premium,0.31,0.51,Fast,0.45,1,0
26811,2719,33,9,62,64,0,258,211,VIP,0.17,1,Slow,0.88,1,0
26812,2967,47,0,77,68,0,242,302,VIP,0.2,0.94,Medium,0.38,0,0
26813,446,113,8,23,65,3,301,274,General,0.16,0.62,Medium,0.44,0,0
26814,3161,26,0,47,52,0,160,87,VIP,0.38,0.84,Medium,0.56,0,0
26815,253,97,11,69,76,3,363,241,General,0.45,0.42,Slow,0.6,0,1
26816,2775,28,0,29,63,1,201,196,VIP,0.2,0.41,Slow,0.83,0,0
26817,2210,35,6,62,69,1,192,155,VIP,0.26,1,Fast,0.26,0,0
26818,49,141,16,53,73,1,245,285,General,0.33,0.59,Fast,0.23,1,1
26819,374,97,15,10,78,0,245,213,General,0.42,0.34,Fast,0.24,1,0
26820,256,115,4,46,61,0,217,188,General,0.21,0.44,Fast,0.43,1,1
26821,565,125,7,51,64,2,302,162,Premium,0.16,0.75,Slow,0.76,1,0
26822,190,135,18,42,79,0,265,231,General,0.43,0.61,Medium,0.47,0,1
26823,104,116,13,48,75,0,367,307,General,0.24,0.7,Fast,0.31,0,1
26824,2762,28,1,1,64,3,197,198,VIP,0.32,0.9,Slow,0.65,1,0
26825,2467,41,9,0,71,1,269,118,VIP,0.2,1,Fast,0.19,0,0
26826,742,28,4,9,66,1,167,263,General,0.16,0.12,Medium,0.62,0,0
26827,2169,26,4,30,64,1,308,183,VIP,0.31,0.32,Fast,0.46,0,0
26828,3038,26,4,8,61,3,218,126,VIP,0.25,0.55,Medium,0.66,1,0
26829,1017,46,0,20,55,0,214,10,Premium,0.04,0.96,Slow,0.63,1,0
26830,232,135,8,83,58,0,208,108,General,0.17,0.11,Medium,0.52,1,0
26831,1415,28,3,79,74,2,187,239,Premium,0.29,0.25,Fast,0.42,0,0
26832,357,117,9,66,69,2,314,261,General,0.34,0.3,Slow,0.72,0,0
26833,1316,32,3,50,61,2,263,130,Premium,0.27,0.93,Medium,0.35,0,0
26834,390,104,19,62,72,3,197,281,General,0.36,0.2,Medium,0.36,0,0
26835,339,129,8,81,59,1,252,169,General,0.4,0.31,Slow,0.89,1,0
26836,97,141,16,32,80,1,272,341,General,0.31,0.99,Medium,0.53,1,1
26837,346,132,14,27,60,3,230,193,General,0.39,0.56,Slow,0.52,1,0
26838,3246,30,0,49,68,2,229,298,VIP,0.29,1,Fast,0.11,0,0
26839,2385,39,2,71,55,2,215,241,VIP,0.23,0.6,Medium,0.63,0,0
26840,258,123,12,19,79,3,368,256,General,0.48,0.75,Fast,0.16,1,0
26841,2286,42,12,63,77,1,203,229,VIP,0.41,1,Slow,0.51,0,0
26842,3259,24,6,55,68,2,276,244,VIP,0.19,0.88,Slow,0.77,1,0
26843,235,102,16,35,74,0,316,244,General,0.25,0.24,Fast,0.45,0,1
26844,2775,18,3,2,53,2,195,193,VIP,0.09,1,Fast,0.43,1,0
26845,2178,18,11,69,85,2,332,266,VIP,0.36,0.36,Medium,0.45,0,0
26846,1961,26,4,88,83,3,211,287,VIP,0.18,1,Fast,0.36,0,0
26847,327,124,17,57,81,0,235,220,General,0.26,0.61,Slow,0.51,0,1
26848,3215,35,5,80,58,0,251,214,VIP,0.35,0.89,Fast,0.39,0,0
26849,573,38,5,5,67,2,219,290,General,0.1,0.68,Fast,0.18,0,0
26850,2658,24,0,10,63,1,165,205,VIP,0.24,0.69,Medium,0.46,0,0
26851,176,121,8,60,74,2,342,346,General,0.33,0.49,Fast,0.32,0,1
26852,221,113,15,8,71,0,224,215,General,0.33,0.84,Medium,0.32,0,1
26853,196,109,8,20,56,2,245,188,Premium,0.36,0.82,Medium,0.59,0,1
26854,3154,38,1,15,67,2,185,201,VIP,0.34,0.42,Slow,0.6,1,0
26855,251,115,6,89,58,0,219,147,General,0.23,0.47,Medium,0.57,0,0
26856,206,137,22,24,73,1,304,177,General,0.41,0.78,Medium,0.31,1,1
26857,2861,22,1,61,57,1,229,83,VIP,0.13,0.37,Medium,0.31,0,0
26858,1499,36,0,25,51,0,254,79,Premium,0.09,0.17,Slow,0.68,0,0
26859,97,113,18,20,80,0,286,228,General,0.4,0.25,Fast,0.17,0,1
26860,2273,32,4,47,69,2,198,276,VIP,0.36,0.85,Fast,0.5,1,0
26861,2494,29,0,24,57,0,157,196,VIP,0.4,0.74,Fast,0.49,0,0
26862,1436,27,2,26,62,0,310,133,Premium,0.22,0.52,Medium,0.33,1,0
26863,1482,35,5,11,65,3,289,201,Premium,0.41,0.87,Fast,0.3,0,0
26864,174,114,9,27,77,0,215,156,General,0.31,0.56,Fast,0.45,0,1
26865,231,132,4,34,61,3,204,270,General,0.41,0.55,Fast,0.37,0,1
26866,594,122,18,72,63,0,244,237,General,0.31,0.61,Fast,0.28,0,0
26867,1839,30,0,27,63,2,210,137,VIP,0.21,0.57,Fast,0.29,0,0
26868,155,133,11,11,59,1,211,133,General,0.34,0.13,Medium,0.35,1,1
26869,3559,13,3,20,66,2,168,171,VIP,0.22,1,Fast,0.38,0,0
26870,278,127,7,21,72,1,257,187,General,0.13,0.34,Medium,0.39,0,0
26871,855,25,3,6,51,2,234,178,Premium,0.35,0.09,Slow,0.64,0,0
26872,2699,28,6,81,72,2,236,224,VIP,0.31,0.33,Slow,0.86,0,0
26873,3305,35,4,41,76,1,191,197,VIP,0.12,0.56,Fast,0.15,0,0
26874,348,112,7,68,63,2,292,144,General,0.36,0.33,Medium,0.59,0,0
26875,177,103,2,56,56,0,200,108,General,0.28,0.99,Fast,0.5,0,1
26876,218,130,5,78,63,0,182,213,General,0.23,0.1,Slow,0.54,1,1
26877,287,115,10,25,77,3,233,222,General,0.2,0.33,Fast,0.42,0,1
26878,263,134,20,57,70,2,337,197,General,0.29,0.35,Fast,0.12,0,0
26879,333,128,7,33,60,1,159,255,General,0.37,0.7,Medium,0.35,0,1
26880,491,128,10,56,57,0,166,234,General,0.27,0.27,Fast,0.5,1,1
26881,1065,26,0,44,54,2,173,170,Premium,0.42,0,Medium,0.34,0,0
26882,191,120,10,50,66,2,275,165,General,0.33,0.22,Medium,0.35,0,1
26883,2508,25,0,34,63,2,248,145,VIP,0.13,0.33,Fast,0.31,1,0
26884,347,111,8,20,59,2,212,188,General,0.26,0.7,Medium,0.34,1,0
26885,2716,22,1,24,67,2,170,131,VIP,0.28,0.79,Fast,0.1,0,0
26886,127,128,7,13,68,2,209,127,General,0.39,0,Medium,0.56,0,1
26887,3192,28,5,82,64,1,236,265,VIP,0.08,0.91,Fast,0.18,0,0
26888,2848,29,8,56,74,2,357,205,VIP,0.38,0.62,Medium,0.65,0,0
26889,199,117,1,79,60,0,157,120,General,0.29,0.07,Fast,0.47,0,1
26890,282,117,7,45,61,0,201,143,General,0.39,0.54,Fast,0.36,0,1
26891,2695,45,5,78,60,0,190,126,VIP,0.32,0.58,Fast,0.44,1,0
26892,719,43,5,31,64,2,242,188,General,0.15,0.73,Medium,0.46,0,0
26893,2511,9,0,17,55,2,173,138,VIP,0.31,1,Fast,0.25,0,0
26894,2315,50,8,69,71,0,295,211,VIP,0.34,0.43,Medium,0.5,1,0
26895,351,117,9,73,69,0,199,199,General,0.33,0.12,Medium,0.48,0,1
26896,387,112,15,8,68,1,195,204,General,0.33,0.24,Medium,0.63,0,0
26897,3386,29,0,55,67,2,197,221,VIP,0.14,0.73,Medium,0.42,0,0
26898,2995,17,5,15,66,2,305,216,VIP,0.31,0.84,Medium,0.61,0,0
26899,3201,22,6,10,66,3,223,224,VIP,0.25,0.68,Medium,0.62,0,0
26900,3151,24,1,18,72,2,229,149,VIP,0.25,0.66,Medium,0.44,0,0
26901,2391,28,4,33,65,0,312,230,VIP,0.33,1,Slow,0.51,1,0
26902,317,105,14,42,83,1,263,173,General,0.29,0.84,Medium,0.68,1,1
26903,405,100,11,55,74,1,190,208,General,0.41,0.95,Slow,0.51,1,1
26904,3403,8,0,67,56,2,275,151,VIP,0.35,0.86,Fast,0.14,0,0
26905,290,135,20,55,69,2,198,203,General,0.44,0.04,Medium,0.41,0,0
26906,3581,34,0,88,57,2,181,225,VIP,0.04,0.43,Medium,0.63,0,0
26907,321,132,15,75,64,1,302,190,General,0.28,0.54,Fast,0.33,0,0
26908,247,127,11,63,83,2,297,247,General,0.24,0.1,Slow,0.84,1,0
26909,97,118,11,76,69,3,345,166,General,0.27,0.86,Medium,0.61,0,1
26910,255,121,12,50,82,0,228,354,General,0.41,0.09,Fast,0.41,0,0
26911,468,129,24,36,76,3,339,275,General,0.38,0.94,Medium,0.56,1,1
26912,404,102,6,44,70,0,241,220,General,0.31,0.31,Slow,0.74,0,0
26913,191,123,16,46,75,0,372,243,General,0.32,0.06,Fast,0.45,1,1
26914,2764,23,0,87,52,2,215,141,VIP,0.37,0.98,Fast,0.28,1,0
26915,1820,44,2,7,62,3,157,241,VIP,0.23,0.5,Medium,0.49,0,0
26916,2941,5,5,79,66,1,247,192,VIP,0.26,0.5,Fast,0.19,0,0
26917,1457,40,13,13,76,3,210,229,Premium,0.28,0.73,Fast,0.13,0,0
26918,2125,33,2,9,57,1,224,184,VIP,0.2,0.56,Fast,0.28,0,0
26919,287,133,13,74,65,3,187,135,General,0.35,0.85,Medium,0.53,0,0
26920,2119,36,0,53,58,0,188,227,VIP,0.25,0.91,Medium,0.46,1,0
26921,287,117,6,27,62,1,273,162,General,0.22,0.4,Medium,0.52,1,0
26922,3369,21,0,16,53,0,253,194,VIP,0.29,0.34,Slow,0.61,0,0
26923,3167,13,7,16,57,1,253,202,VIP,0.4,0.91,Medium,0.32,0,0
26924,195,119,17,61,71,1,182,229,General,0.22,0.8,Fast,0.28,1,1
26925,2452,31,0,22,66,1,177,138,VIP,0.25,0.51,Slow,0.86,0,0
26926,1299,28,0,77,62,2,189,259,Premium,0.24,0.71,Medium,0.36,1,0
26927,2477,29,8,70,72,3,258,236,VIP,0.28,0.64,Fast,0.23,0,0
26928,2840,22,5,40,57,2,241,145,VIP,0.31,0.44,Slow,0.52,1,0
26929,537,110,7,69,69,0,305,215,General,0.38,0.62,Medium,0.6,0,1
26930,3091,16,3,69,56,0,214,121,VIP,0.09,1,Fast,0.4,0,0
26931,380,106,10,52,64,0,262,201,General,0.45,0.15,Fast,0.21,1,0
